epoch,acc,learning_rate,loss,prec,rec,val_acc,val_loss,val_prec,val_rec
0,0.9080522656440735,0.0010000000474974513,0.22509188950061798,0.8619537353515625,0.9307359457015991,0.8339648842811584,0.32025283575057983,0.9933862686157227,0.611563503742218
1,0.9510179162025452,0.0010000000474974513,0.1248406395316124,0.9354379773139954,0.9492063522338867,0.8932139277458191,0.23264381289482117,0.998913049697876,0.7483713626861572
2,0.9588574767112732,0.0010000000474974513,0.10836689174175262,0.9436639547348022,0.9595959782600403,0.7729934453964233,0.6325787901878357,0.6509283781051636,0.9991856813430786
3,0.9653600454330444,0.0010000000474974513,0.09469585120677948,0.9540262818336487,0.9642135500907898,0.9187048077583313,0.17176711559295654,0.9815533757209778,0.8232899308204651
4,0.9649346470832825,0.0010000000474974513,0.09299371391534805,0.9538505673408508,0.9633477926254272,0.9242163300514221,0.1761295199394226,0.856940507888794,0.9853420257568359
5,0.9695533514022827,0.0010000000474974513,0.08309934288263321,0.9579712152481079,0.9702741503715515,0.9252497553825378,0.16270087659358978,0.9791468977928162,0.8412052392959595
6,0.9707687497138977,0.0010000000474974513,0.07927516847848892,0.9617642760276794,0.9691197872161865,0.9128487706184387,0.21006494760513306,0.837837815284729,0.9845277070999146
7,0.9708295464515686,0.0010000000474974513,0.07793945074081421,0.9619020223617554,0.9691197872161865,0.969342052936554,0.08249061554670334,0.9641401767730713,0.9633550643920898
8,0.9729565382003784,0.0010000000474974513,0.07017486542463303,0.9642090201377869,0.9718614816665649,0.968997597694397,0.08092841506004333,0.9813874959945679,0.9446253776550293
9,0.9770890474319458,0.0010000000474974513,0.06447045505046844,0.9702885150909424,0.9754689931869507,0.9710643887519836,0.07318004220724106,0.9696223139762878,0.9617263674736023
10,0.975630521774292,0.0010000000474974513,0.06751476228237152,0.967760443687439,0.9746031761169434,0.8673785924911499,0.29675447940826416,0.9929824471473694,0.6913681030273438
11,0.9762382507324219,0.0010000000474974513,0.0621117427945137,0.9678065776824951,0.9760462045669556,0.8108853101730347,1.202483057975769,0.6912676095962524,0.9991856813430786
12,0.9822546243667603,0.0005000000237487257,0.05170116201043129,0.9756377339363098,0.9823954105377197,0.9741646647453308,0.07804109156131744,0.9444872736930847,0.9975569844245911
13,0.9820722937583923,0.0005000000237487257,0.05092203617095947,0.9748103618621826,0.9828282594680786,0.9683086276054382,0.08888957649469376,0.9322679042816162,0.9975569844245911
14,0.9856578707695007,0.0002500000118743628,0.04116801545023918,0.9799254536628723,0.9861471652984619,0.982431948184967,0.05293863266706467,0.9696727991104126,0.9894136786460876
15,0.984442412853241,0.0002500000118743628,0.04478435590863228,0.9783543348312378,0.9848484992980957,0.9789872765541077,0.06366397440433502,0.9598108530044556,0.9918566942214966
16,0.9857794046401978,0.0002500000118743628,0.040326036512851715,0.9793814420700073,0.9870129823684692,0.9810540676116943,0.05141827091574669,0.9726027250289917,0.982899010181427
17,0.9871771335601807,0.0002500000118743628,0.03835279121994972,0.9824787974357605,0.9871572852134705,0.9803651571273804,0.051564235240221024,0.9787408113479614,0.9747557044029236
18,0.9866909980773926,0.0002500000118743628,0.03841755911707878,0.9803865551948547,0.988167405128479,0.9820874929428101,0.04736651852726936,0.9681528806686401,0.990227997303009
19,0.9868125319480896,0.0002500000118743628,0.03676534816622734,0.9816329479217529,0.9871572852134705,0.9497072100639343,0.12989483773708344,0.9936131238937378,0.8868077993392944
20,0.9869340658187866,0.0002500000118743628,0.037918396294116974,0.9810861349105835,0.9880231022834778,0.9741646647453308,0.0801507830619812,0.9438029527664185,0.9983713626861572
21,0.9886356592178345,0.0001250000059371814,0.035863202065229416,0.9840631484985352,0.9890331625938416,0.9855322241783142,0.04256134852766991,0.978225827217102,0.9877850413322449
22,0.9890610575675964,0.0001250000059371814,0.032224155962467194,0.9839403629302979,0.9901875853538513,0.9858766794204712,0.04281546175479889,0.9821283221244812,0.9845277070999146
23,0.9890610575675964,0.0001250000059371814,0.03204335272312164,0.9832473993301392,0.9909090995788574,0.9831209182739258,0.047616977244615555,0.9851852059364319,0.9747557044029236
24,0.9902157187461853,6.25000029685907e-05,0.03026529587805271,0.9866283535957336,0.9901875853538513,0.9820874929428101,0.05288678780198097,0.9629921317100525,0.9959283471107483
25,0.9903980493545532,6.25000029685907e-05,0.029803739860653877,0.9859356880187988,0.9913420081138611,0.9855322241783142,0.04441069811582565,0.9805510640144348,0.9853420257568359
26,0.9902765154838562,3.125000148429535e-05,0.029094737023115158,0.9853742718696594,0.9916306138038635,0.9851877093315125,0.04193783178925514,0.9766693711280823,0.9885993599891663
27,0.9906411170959473,3.125000148429535e-05,0.028490301221609116,0.9862227439880371,0.9916306138038635,0.9855322241783142,0.043783485889434814,0.9751602411270142,0.9910423159599304
28,0.9905195832252502,3.125000148429535e-05,0.028437918052077293,0.9856610298156738,0.991919219493866,0.9862211346626282,0.04076435789465904,0.97826087474823,0.9894136786460876
29,0.9901549816131592,3.125000148429535e-05,0.028794849291443825,0.9848137497901917,0.991919219493866,0.9858766794204712,0.04223323613405228,0.9774738550186157,0.9894136786460876
30,0.9907019138336182,3.125000148429535e-05,0.028523290529847145,0.9851109385490417,0.9929292798042297,0.9872545599937439,0.03996140882372856,0.9837530255317688,0.9861563444137573
31,0.991309642791748,3.125000148429535e-05,0.028177892789244652,0.9875018000602722,0.991919219493866,0.9851877093315125,0.04066193476319313,0.9789814352989197,0.9861563444137573
32,0.991309642791748,3.125000148429535e-05,0.02783193252980709,0.9868024587631226,0.9926406741142273,0.9869101047515869,0.04160904139280319,0.9829545617103577,0.9861563444137573
33,0.9911273121833801,1.5625000742147677e-05,0.02816126123070717,0.9865174889564514,0.9924963712692261,0.9865656495094299,0.04230097308754921,0.9782783389091492,0.990227997303009
34,0.9913703799247742,1.5625000742147677e-05,0.027419565245509148,0.9872236847877502,0.9923520684242249,0.9858766794204712,0.040966007858514786,0.9797897934913635,0.9869706630706787
35,0.9911273121833801,7.812500371073838e-06,0.02674933522939682,0.9865174889564514,0.9924963712692261,0.9865656495094299,0.04183224216103554,0.9782783389091492,0.990227997303009
36,0.991309642791748,7.812500371073838e-06,0.027288462966680527,0.9865232706069946,0.9929292798042297,0.9855322241783142,0.04153253510594368,0.978225827217102,0.9877850413322449
